[23-Jun-2013 15:56:07] PHP Fatal error:  Class 'BurgerDAO' not found in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 93
[23-Jun-2013 16:24:33] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 108
[23-Jun-2013 16:24:33] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 108
[23-Jun-2013 16:24:33] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 108
[23-Jun-2013 16:24:33] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 108
[23-Jun-2013 16:24:33] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 108
[23-Jun-2013 16:25:38] PHP Notice:  Use of undefined constant int - assumed 'int' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 105
[23-Jun-2013 16:25:38] PHP Notice:  Undefined index: int in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 111
[23-Jun-2013 16:25:38] PHP Notice:  Undefined index: inu in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 111
[23-Jun-2013 16:25:38] PHP Notice:  Undefined index: inv in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 111
[23-Jun-2013 16:25:38] PHP Notice:  Undefined index: inw in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 111
[23-Jun-2013 16:25:38] PHP Notice:  Undefined index: inx in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 111
[23-Jun-2013 16:32:39] PHP Notice:  Undefined index: user_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 121
[23-Jun-2013 16:32:39] PHP Notice:  Undefined index: user_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 121
[23-Jun-2013 16:32:39] PHP Notice:  Undefined index: user_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 121
[23-Jun-2013 16:32:39] PHP Notice:  Undefined index: user_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 121
[23-Jun-2013 16:32:39] PHP Notice:  Undefined index: user_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 121
[23-Jun-2013 16:33:46] PHP Notice:  Undefined offset: 8 in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 119
[23-Jun-2013 16:33:46] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:46] PHP Notice:  Undefined offset: 8 in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 119
[23-Jun-2013 16:33:46] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:46] PHP Notice:  Undefined offset: 8 in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 119
[23-Jun-2013 16:33:46] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:46] PHP Notice:  Undefined offset: 8 in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 119
[23-Jun-2013 16:33:46] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:46] PHP Notice:  Undefined offset: 8 in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 119
[23-Jun-2013 16:33:46] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:59] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:59] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:59] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:59] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:33:59] PHP Notice:  Undefined index: creator_id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 122
[23-Jun-2013 16:49:52] PHP Notice:  Use of undefined constant length - assumed 'length' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 131
[23-Jun-2013 16:49:52] PHP Notice:  Use of undefined constant length - assumed 'length' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 131
[23-Jun-2013 16:49:52] PHP Notice:  Use of undefined constant length - assumed 'length' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 131
[23-Jun-2013 16:49:52] PHP Notice:  Use of undefined constant length - assumed 'length' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 131
[23-Jun-2013 16:49:52] PHP Notice:  Use of undefined constant length - assumed 'length' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 131
[23-Jun-2013 16:56:19] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 104
[23-Jun-2013 16:56:19] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 104
[23-Jun-2013 16:56:19] PHP Notice:  Undefined index: pin in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 128
[23-Jun-2013 16:56:19] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/99f66c1ab9afe323b6f19d199a2812f43bf0a611.file.gallery50s.tpl.php on line 128
